surface,expansion,all_defs,ndefs,source
"א""א",אברהם אבינו,"אברהם אבינו | אדיר אדירנו | אדרת אליהו | אחד אלהינו | איסור אכילה | אל אדון | אמן אמן | אמר אברהם (ראב""ד) | אמר אליהו | אריך אנפין | ארך אפים | אשת איש | אתה אחד | אבטחת איכות (המונח התקני: ה""א - הבטחת איכות) | אגב אורחא | אדוני אבי | אדר א' | אחד אמר | אחרים אומרים | אי אמרת. (ארמית-אם אמרת) | אי אפשר | אין אדם | אין אומרין | אין אומרים | אלף אלפים | אלכוהוליסטים אנונימיים | אינפרה אדום (המונח התקני: תַת־אָדוֹם; גם אינ""א) | אל""ף־אל""ף | אויר־אויר (יש ההוגים: אָלֶ״ף־אָלֶ״ף) | אחזקה אוירית | אֶגֶד ארטילרי | אמל""ח אויב (הֲגוּ: אָלֶ״ף־אָלֶ״ף) | אור אחרון | איכות ואמינות | אוקיי ואוקיי",35,he.wiktionary
"א""ב",אלף-בית,אלף-בית | אבן בוחן | אדר ב' | אין בו; אין בה | אין ביכולתו | אין ברֵרה | איסור בישול | אישור בחירות | אמרי בינה | אמת בניין | אנשי ביתו | ארצות הברית | אתה בחרתנו | איכא ביניהו (יש ביניהם. המשמעות ההבדל בין שתי שיטות) | איתור בית | איסור בנייה | ארוחת בוקר,17,he.wiktionary
"א""ב א""ב וא""ב","אחד בתורה, אחד בנביאים ואחד בכתובים","אחד בתורה, אחד בנביאים ואחד בכתובים",1,he.wiktionary
"א""ג",אימון גופני,אימון גופני | אבן גבול | איכות גבולית,3,he.wiktionary
"א""ד",איכא דאמרי (יש אומרים),איכא דאמרי (יש אומרים) | אינו דומה | אינו דין | אשראי דוקומנטרי | אליבא דאמת | אליבא דידי (דידיה) | אנית-דיג,7,he.wiktionary
"א""ה",אוצר הברכות,אוצר הברכות | אמר הכותב/המחבר/העורך | אבן העזר | אי הכי (אם כך),4,he.wiktionary
"א""ז",אין זה,אין זה | את זה | אור זרוע (ספר) | אי־זוגי | אדוני זקני | אדרא זוטא,6,he.wiktionary
"א""ח",אגף חקירות,אגף חקירות | אורך חיים,2,he.wiktionary
"א""ט",אַב־טִיפּוּס,אַב־טִיפּוּס | ארוך־טווח,2,he.wiktionary
"א""י",אין יכול,אין יכול | אינו יהודי | ארץ ישראל | אבן יקרה,4,he.wiktionary
