surface,pos,lemma,source
וכדו',adverb,וכדומה,adjudicated
מאד,adverb,מאוד,mila+treebank
מיד,adverb,מייד,mila+treebank
אינה,copula,אינו,mila+treebank
איני,copula,אינו,mila+treebank
אינך,copula,אינו,mila+treebank
אינכם,copula,אינו,mila+treebank
אינכן,copula,אינו,mila
אינם,copula,אינו,mila+treebank
אינן,copula,אינו,mila+treebank
איננה,copula,אינו,mila+treebank
אינני,copula,איננו,adjudicated
בהיות,copula,היה,mila
בהיותו,copula,היות,adjudicated
בהיותי,copula,היה,mila
בהיותך,copula,היות,adjudicated
בהיותכם,copula,היה,mila
בהיותכן,copula,היה,mila
בהיותם,copula,היות,adjudicated
בהיותן,copula,היות,adjudicated
בהיותנו,copula,היות,adjudicated
היא,copula,הוא,mila+treebank
היו,copula,היה,mila+treebank
היות,copula,היות,adjudicated
היי,copula,היה,adjudicated
היינו,copula,היה,mila+treebank
היית,copula,היה,mila+treebank
הייתי,copula,היה,mila+treebank
הייתם,copula,היה,mila+treebank
הייתן,copula,היה,mila
הינה,copula,הינו,adjudicated
הינכם,copula,הינו,adjudicated
הינכן,copula,הנו,mila
הינם,copula,הינו,adjudicated
הינן,copula,הינו,adjudicated
הם,copula,הוא,mila+treebank
הן,copula,הוא,mila+treebank
הנה,copula,הנה,adjudicated
הנך,copula,הנך,adjudicated
הנכם,copula,הינו,adjudicated
הנכן,copula,הנו,mila
הנם,copula,הנו,mila
הנן,copula,הנו,mila
הנני,copula,הינו,adjudicated
יהיו,copula,היה,mila+treebank
כהיות,copula,היה,mila
כהיותו,copula,היה,mila
כהיותי,copula,היה,mila
כהיותך,copula,היה,mila
כהיותכם,copula,היה,mila
כהיותכן,copula,היה,mila
כהיותם,copula,היה,mila
כהיותן,copula,היה,mila
כהיותנו,copula,היה,mila
להיות,copula,היה,mila+treebank
להיותו,copula,היות,adjudicated
להיותי,copula,היה,mila
להיותך,copula,היה,mila
להיותכם,copula,היה,mila
להיותכן,copula,היה,mila
להיותם,copula,היה,mila
להיותן,copula,היה,mila
להיותנו,copula,היה,mila
מהיותו,copula,היות,adjudicated
מהיותי,copula,היה,mila
מהיותך,copula,היה,mila
מהיותכם,copula,היה,mila
מהיותכן,copula,היה,mila
מהיותם,copula,היה,mila
מהיותן,copula,היה,mila
מהיותנו,copula,היה,mila
נהיו,copula,נהיה,mila+treebank
תהיו,copula,היה,mila+treebank
תהיי,copula,היה,mila+treebank
ההיו,existential,היה,mila
היו,existential,היה,mila+treebank
יהי,existential,היה,adjudicated
יהיו,existential,היה,adjudicated
תהיה,existential,היה,adjudicated
תהיינה,existential,היה,adjudicated
איזו,interrogative,איזה,mila+treebank
אייכם,interrogative,איה,mila
אייכן,interrogative,איה,mila
איין,interrogative,איה,mila
איינו,interrogative,איה,mila
אייני,interrogative,איה,mila
אילו,interrogative,אילו,adjudicated
אוכל,modal,אוכל,adjudicated
יוכל,modal,יכול,mila+treebank
יוכלו,modal,יכול,mila+treebank
יכל,modal,יכול,mila+treebank
יכלה,modal,יכול,mila+treebank
יכלו,modal,יכול,mila+treebank
נוכל,modal,יכול,mila+treebank
תוכל,modal,יכול,mila+treebank
תוכלו,modal,יכול,mila+treebank
תוכלי,modal,יכול,mila
תוכלנה,modal,יכול,mila
הנשים,noun,איש,mila+treebank
נשות,noun,איש,mila+treebank
נשותי,noun,איש,mila
נשותיה,noun,איש,mila
נשותיהם,noun,איש,mila
נשותיהן,noun,איש,mila
נשותיו,noun,איש,mila
נשותיי,noun,איש,mila
נשותייך,noun,איש,mila
נשותיך,noun,איש,mila
נשותיכם,noun,איש,mila
נשותיכן,noun,איש,mila
נשותינו,noun,איש,mila
נשי,noun,נשי,adjudicated
נשיה,noun,איש,mila+treebank
נשיהם,noun,איש,mila
נשיהן,noun,איש,mila
נשיו,noun,איש,mila
